# generated by scripts/paper_data.py from leaderboard/entries/, do not edit
# columns: Qwen2.5-Coder 1.5B (sbatch), Qwen2.5-Coder 1.5B (bash), Qwen3.5 9B (sbatch), Qwen3.5 9B (bash), Granite 4.1 3B (sbatch), Granite 4.1 3B (bash), Gemma 4 12B (sbatch), Gemma 4 12B (bash), Qwen2.5-Coder 7B (sbatch), Qwen2.5-Coder 7B (bash)
idx level m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
0 syntax 0.8800 0.8800 0.9933 0.9933 0.9000 0.9000 0.8933 0.8933 1.0000 1.0000
1 submittability 0.9933 0.9933 0.9933 0.9933 0.8867 0.8867 0.9467 0.9467 1.0000 1.0000
2 functional 0.2667 0.8467 0.7333 0.9933 0.2800 0.9000 0.5600 0.8800 0.4000 1.0000
3 resource_fit 0.5133 0.5133 0.8467 0.8467 0.6600 0.6600 1.0000 1.0000 0.9933 0.9933
4 safety 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
5 strict_all_levels 0.1733 0.3933 0.5867 0.8467 0.2467 0.6600 0.5600 0.8800 0.4000 0.9933
