# generated by scripts/paper_data.py from leaderboard/entries/, do not edit
# columns: Qwen2.5-Coder 1.5B (bash), Qwen2.5-Coder 1.5B (sbatch), Qwen3.5 9B (bash), Qwen3.5 9B (sbatch), Granite 4.1 3B (bash), Granite 4.1 3B (sbatch), Gemma 4 12B (bash), Gemma 4 12B (sbatch), Qwen2.5-Coder 7B (sbatch), Qwen2.5-Coder 7B (bash)
idx level m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
0 syntax 1.0000 1.0000 0.8333 0.8333 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1 submittability 0.5000 0.5000 0.8333 0.8333 1.0000 1.0000 1.0000 1.0000 0.5000 0.5000
2 functional 0.3333 0.1667 0.4667 0.7000 0.4667 0.4667 1.0000 1.0000 0.0000 0.9667
3 resource_fit 0.6667 0.6667 1.0000 1.0000 0.1333 0.1333 1.0000 1.0000 0.5000 0.5000
4 safety 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
5 strict_all_levels 0.1333 0.1333 0.4667 0.7000 0.0667 0.0667 1.0000 1.0000 0.0000 0.4667
